Scuola;Tipo corso;Corso di laurea - Sede;Classe di laurea;Donne N.;Donne voto medio;Donne durata media;Uomini N.;Uomini voto medio;Uomini durata media;Totale N.;Totale voto medio;Totale durata media
;;INGEGNERIA CIVILE - PADOVA;LM-23;15;106,7;3,9;37;106,5;3,1;52;106,6;3,4
;;INGEGNERIA DEI MATERIALI - PADOVA;LM-53;15;101,9;3,1;27;100,6;2,7;42;101,0;2,8
;;INGEGNERIA DELLA SICUREZZA CIVILE E INDUSTRIALE - PADOVA;LM-26;12;101,3;2,6;28;103,4;2,8;40;102,8;2,7
;;INGEGNERIA DELL'AUTOMAZIONE - PADOVA;LM-25;;;;4;100,0;4,7;4;100,0;4,7
;;INGEGNERIA DELL'ENERGIA ELETTRICA - PADOVA;LM-28;3;108,7;2,7;70;107,0;2,9;73;107,1;2,9
;;INGEGNERIA DELL'INNOVAZIONE DEL PRODOTTO - VICENZA;LM-33;;;;35;101,1;2,8;35;101,1;2,8
;;INGEGNERIA ELETTRONICA - PADOVA;LM-29;4;103,3;2,4;59;105,6;2,6;63;105,5;2,6
;;INGEGNERIA ENERGETICA - PADOVA;LM-30;8;104,9;2,7;43;105,3;3,0;51;105,2;3,0
;;INGEGNERIA GESTIONALE - VICENZA;LM-31;68;105,4;2,3;132;103,2;2,5;200;103,9;2,4
;;INGEGNERIA INFORMATICA - PADOVA;LM-32;;;;9;103,3;4,6;9;103,3;4,6
;;INGEGNERIA MECCANICA - PADOVA;LM-33;18;104,2;2,6;149;101,2;2,8;167;101,5;2,7
;;INGEGNERIA MECCATRONICA - VICENZA;LM-25;;;;35;101,0;2,9;35;101,0;2,9
;;MATERIALS ENGINEERING - PADOVA;LM-53.;1;108,0;2,1;2;108,0;1,6;3;108,0;1,7
;;MATHEMATICAL ENGINEERING - INGEGNERIA MATEMATICA - PADOVA;LM-44;1;110,0;4,8;2;104,5;3,9;3;106,3;4,2
;;MATHEMATICAL ENGINEERING - PADOVA;LM-44;2;102,0;2,7;13;109,2;2,5;15;108,3;2,6
;;SUSTAINABLE TERRITORIAL DEVELOPMENT – CLIMATE CHANGE, DIVERSITY, COOPERATION - PADOVA;LM-81;11;107,4;2,1;1;103,0;2,0;12;107,0;2,1
;;WATER AND GEOLOGICAL RISK ENGINEERING - ROVIGO;LM-35;;;;3;109,3;2,0;3;109,3;2,0
